name,rating,reviews,interviews,benefits,Higher_rate_for,lower_rate_for
Maruti Suzuki,4.2,6.5k,438,1.1k,"Job Security, Salary & Benefits, Skill Development / Learning",
Ericsson,4.3,6.5k,266,1k,"Company Culture, Work Life Balance, Job Security",
Shriram Finance,4.1,6.5k,227,46,"Job Security, Skill Development / Learning, Work Life Balance",
Asian Paints,4.0,6.3k,458,903,"Salary & Benefits, Skill Development / Learning, Job Security",
Yes Bank,3.9,6.3k,289,630,"Salary & Benefits, Work Life Balance",
Cipla Pharmaceutical,4.1,6.1k,350,891,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
Dr. Reddy's,4.1,5.9k,270,881,"Skill Development / Learning, Company Culture, Work Life Balance",
Sutherland Global Services,3.7,5.9k,359,938,"Promotions / Appraisal, Salary & Benefits",
Bandhan Bank,3.8,5.8k,365,532,Job Security,"Promotions / Appraisal, Work Satisfaction"
EXL Service,3.8,5.8k,442,852,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
UltraTech Cement,4.2,5.8k,367,653,"Job Security, Skill Development / Learning, Company Culture",
Paytm,3.4,5.8k,418,582,"Job Security, Promotions / Appraisal, Company Culture",
NTT DATA,4.0,5.8k,410,773,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
ICICI Prudential Life Insurance,4.1,5.6k,275,635,"Job Security, Skill Development / Learning, Salary & Benefits",
TATA Steel,4.1,5.5k,541,675,"Job Security, Skill Development / Learning, Company Culture",
Jana Small Finance Bank,3.8,5.5k,177,619,,
Bajaj Finance,4.0,5.5k,220,520,"Salary & Benefits, Skill Development / Learning, Job Security",
Lupin,4.1,5.4k,240,818,"Skill Development / Learning, Company Culture, Work Life Balance",
Indian Army,4.7,5.3k,120,757,"Job Security, Company Culture, Work Satisfaction",
HCL Group,3.7,5.3k,273,693,Job Security,"Promotions / Appraisal, Salary & Benefits"
Udaan,4.0,5.2k,300,790,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Job Security
L&T Infotech,3.8,5.2k,395,883,Job Security,"Promotions / Appraisal, Salary & Benefits"
ITC,3.9,5.2k,399,725,"Job Security, Skill Development / Learning",Promotions / Appraisal
Quess,3.9,5.1k,269,460,Work Life Balance,Promotions / Appraisal
Zydus Lifesciences,4.1,5.1k,205,684,"Job Security, Skill Development / Learning, Salary & Benefits",
Wells Fargo,4.0,5.1k,309,902,"Job Security, Work Life Balance, Company Culture",
Delhivery,4.0,5.1k,301,663,Skill Development / Learning,Promotions / Appraisal
JP Morgan Chase,4.2,5k,395,901,"Job Security, Company Culture, Skill Development / Learning",
Hindustan Unilever,4.2,4.9k,244,687,"Skill Development / Learning, Job Security, Company Culture",
FIS,3.9,4.9k,296,783,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Amazon Development Centre India,4.2,4.8k,360,49,"Company Culture, Work Life Balance, Salary & Benefits",
IIFL Finance,3.9,4.7k,200,437,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
Hexaware Technologies,3.7,4.7k,387,585,"Promotions / Appraisal, Salary & Benefits",
JSW Steel,3.9,4.6k,370,625,"Job Security, Skill Development / Learning",Promotions / Appraisal
Sun Pharmaceutical Industries,4.1,4.6k,253,637,"Job Security, Salary & Benefits, Skill Development / Learning",
Ujjivan Small Finance Bank,4.1,4.5k,155,596,"Company Culture, Job Security, Skill Development / Learning",
Muthoot Finance,3.6,4.4k,176,334,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
Max Life Insurance,4.2,4.4k,203,510,"Skill Development / Learning, Company Culture, Job Security",
Aurobindo Pharma,4.0,4.4k,179,492,"Job Security, Salary & Benefits",
Home Credit Finance,4.1,4.3k,94,629,"Company Culture, Skill Development / Learning, Work Life Balance",
KPMG India,3.6,4.3k,493,781,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Tata Projects,4.2,4.3k,281,559,"Job Security, Company Culture, Skill Development / Learning",
Shapoorji Pallonji Group,4.2,4.3k,241,656,"Job Security, Skill Development / Learning, Company Culture",
Oracle,3.9,4.3k,505,640,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
OPPO,3.9,4.3k,170,650,Skill Development / Learning,Promotions / Appraisal
L&T Construction,4.0,4.2k,451,811,"Job Security, Skill Development / Learning, Salary & Benefits",
eClerx,3.4,4.2k,306,583,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Capgemini Technology Services India Limited,4.0,4.2k,363,458,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Ashok Leyland,4.1,4.2k,156,675,"Skill Development / Learning, Work Satisfaction, Company Culture",
Apollo Hospitals,4.1,4.2k,211,522,"Job Security, Skill Development / Learning, Company Culture",
JLL,4.2,4.2k,210,573,"Skill Development / Learning, Job Security, Company Culture",
Siemens,4.2,4.1k,247,658,"Job Security, Work Life Balance, Company Culture",
Vivo,4.1,4.1k,143,663,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Omega Healthcare,3.8,4.1k,226,411,"Promotions / Appraisal, Salary & Benefits",
Megha Engineering & Infrastructures,4.0,4k,294,559,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
JustDial,3.5,4k,228,383,"Promotions / Appraisal, Work Satisfaction, Job Security",
First Source,3.8,4k,187,599,"Promotions / Appraisal, Salary & Benefits",
Hero MotoCorp,4.2,4k,249,605,"Work Life Balance, Job Security, Company Culture",
Bajaj Allianz Life Insurance,4.1,3.9k,211,484,"Salary & Benefits, Work Life Balance, Job Security",
Mahindra & Mahindra Financial Services,4.3,3.9k,97,511,"Job Security, Company Culture, Work Life Balance",
D Mart,3.9,3.8k,243,483,"Job Security, Company Culture",Promotions / Appraisal
Cyient,3.8,3.8k,184,490,Job Security,"Promotions / Appraisal, Salary & Benefits"
ICICI Lombard General Insurance Company,3.8,3.8k,178,378,Job Security,Promotions / Appraisal
BigBasket,4.0,3.8k,255,442,"Job Security, Skill Development / Learning",Promotions / Appraisal
Coforge,3.5,3.8k,272,325,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Indiamart Intermesh,3.6,3.7k,366,441,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
Virtusa Consulting Services,3.8,3.7k,301,345,Promotions / Appraisal,
Equitas Small Finance Bank,4.4,3.7k,124,402,"Job Security, Company Culture, Work Life Balance",
TVS Motor,4.0,3.6k,199,538,"Skill Development / Learning, Salary & Benefits, Company Culture",
GlobalLogic,3.7,3.6k,310,549,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Manappuram Finance,3.9,3.6k,106,266,"Skill Development / Learning, Promotions / Appraisal",
Hewlett-Packard Enterprise,4.3,3.6k,137,624,"Company Culture, Work Life Balance, Job Security",
UST,3.8,3.6k,270,455,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Nagarro,4.2,3.5k,436,1.2k,"Company Culture, Work Life Balance, Salary & Benefits",
Atos Syntel,3.6,3.5k,182,544,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
SBI Cards & Payment Services,3.7,3.5k,168,349,"Promotions / Appraisal, Work Satisfaction, Company Culture",
Cummins,4.4,3.5k,183,483,"Company Culture, Work Life Balance, Skill Development / Learning",
Bosch Global Software Technologies,4.1,3.5k,205,718,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
IQVIA,4.0,3.5k,284,552,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Reliance Communications,3.9,3.5k,67,375,Skill Development / Learning,Promotions / Appraisal
Bosch,4.3,3.5k,210,627,"Company Culture, Work Life Balance, Skill Development / Learning",
